Dataset,Nd*Nc,N_d,N_c,N_g,NUTS,AGS,NUTS,AGS,NUTS,AGS,NUTS,AGS
P1,19085,3817,5,56,885.65,15.76,1.12,1.25,0.973,0.9801,13558,11621
P2,12335,2467,5,50,652.87,13.71,1.5,0.62,0.9873,0.9884,1446,1384
P3,7740,1548,5,35,387.47,9.41,2.54,0.92,0.985,0.987,1974,1833
P4,3160,632,5,26,165.73,6.67,5.94,0.46,0.9923,0.9918,1327,1373
P5,2600,520,5,16,135.16,4.31,7.27,1.85,0.9934,0.994,3473,3312
P6,2105,421,5,17,118.73,4.54,8.25,2.68,0.9908,0.9918,2526,2387
P7,1875,375,5,23,39.86,5.76,24.75,2.41,0.9459,0.9355,3574,3903
P8,1235,247,5,10,8.75,2.78,111.91,2.38,0.9744,0.9729,795,818
P9,785,157,5,8,5.48,2.24,179.87,4.07,0.9964,0.9967,803,766
P10,575,115,5,6,4.49,1.72,218.17,6.75,0.9869,0.9915,7715,6222
P11,315,63,5,4,5.49,1.25,177.38,0.92,0.9356,0.9027,251,308
Bike,2187,729,3,2,9.09,0.98,109.54,24.75,0.6743,0.6292,1101,1175
Covid,894,298,3,11,34.6,2.59,28.57,18.54,0.8517,0.8582,2.53,2.47
